bloco;layout;col_b_raw;brand;category;descricao;rg;codigo_fabrica;status;tabela_bruta;multipl_desconto;custo;VENDA_DIRETA_MS;MS_DDOS;MS_DDOS_PRAZO;MS_ANDREI;SP_SP;SP_OUTROS;SP_RJ_MG_SUL;SP_MONTAGEM;OUTROS_ES;MG_RJ_SUL;DOURADOS_MS;flags
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;HID RO2 2601 DUPLA C/ RODA GUIA 4 FACAS DESENTRADAS 90 cv;52223;104040045;;45101;0.4505;19340;;28300;33270;27200;25300;26200;26700;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;HID RO2 3101 DUPLA DESCENTRADA 4 FACAS - 100 cv;37709;104040007;;48195;0.4505;20660;;29990;31189.600000000002;29300;26900;27900;29300;;;;;
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;ARRASTO SIMPLES ROAT 1700 (PEQUENA) A CARDAN - 70 cv;52974;104090022;;42389;0.4505;18170;;26500;;25800;23900;24800;25800;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;"ARRASTO DUPLA ROAT 3400 """"SEM PNEUS"""" - 90 cv";40992;104090017;;59290;0.4505;25410;;36990;;35900;33900;34500;35500;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;ARRASTO DUPLA ROAT 3400 TL COM  PNEUS DE TRANSPORTE;52686;104090019;;75767;0.4505;32470;;47500;40990;45900;42500;44200;45900;;;;;PRECO_MANUAL
B1_MS;B;PERFURADOR;;PERFURADOR;PERF DE SOLO  **SEM BROCAS**  ( ESCOLHER AS BROCAS E SOMAR );38035;105010027;;11279;0.4505;4840;;6500;7590;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;BROCA 9;;BROCA 9;"BROCA DE 9"" -   SOMAR AO PERFURADOR";NT;0;;0;0.4505;0;;1150;;0;0;0;0;;;;;SEM_CUSTO_TABELA
B1_MS;B;BROCA 12;;BROCA 12;"BROCA DE 12"" - SOMAR AO PERFURADOR";NT;0;;0;0.4505;0;;1290;;0;0;0;0;;;;;SEM_CUSTO_TABELA
B1_MS;B;BROCA 18;;BROCA 18;"BROCA DE 18"" - SOMAR AO PERFURADOR";NT;0;;0;0.4505;0;;1490;9550;0;0;0;0;;;;;SEM_CUSTO_TABELA
B1_MS;B;GUINCHO BAG;;GUINCHO BAG;TATU GATG 2000 BITOLA FIXA;49061;407010053;LQ FN;46924;0.4505;20120;;24990;28000;23900;22900;23500;23700;;;;;PRECO_MANUAL
B1_MS;B;GUINCHO BAG;;GUINCHO BAG;CIVEMASA GCAG 2000  BITOLA REGUL;35678;407010050;LQ FN;49785;0.4505;21350;;25990;28990;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;GUINCHO-800;;GUINCHO-800;GAT 800 - GUINCHO 3 PONTO - 800 KG - SIMPLES;35688;407010002;;3759;0.4505;1585;;2650;;0;0;0;0;;;;;PRECO_MANUAL
